2024-12-10	22:10:33	67b5bc85-4305-4cf7-989a-b6b538f4481c	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:33	37bcb1b8-ad4e-4778-b2fc-c979dfe7d6b7	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:33	1124f316-e0e8-4a1d-9864-263a790a5462	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:33	08da07b5-5e0e-49c2-ba6b-ad491351880a	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:33	3b498b37-7792-4c6a-9184-2f958b72cf12	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:33	1b2ea068-034c-4c42-bfc7-dde7ad074f7b	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:33	e2fcd590-7f37-4654-8e66-21f5508f5726	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:34	30f6557a-b2f4-4a19-9ddf-403a4b9ee667	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:34	e0c82861-7769-4a39-9937-9de721852580	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:34	23e1a22e-6677-458b-8021-84dab8c20c75	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:34	5dfe5f3b-a3ed-4f9e-8133-c25f83bd1b12	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:34	dce0a1ed-674f-4356-b18f-f848dbef970d	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:34	eede52f9-15a7-46d3-affd-ae625f538baa	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:34	1b1d727a-8aff-45ae-83b7-cc08034f04fe	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:34	b87e0d94-2660-458e-94bd-72e7a867174f	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:34	c3cd7f2e-cf53-48e2-950a-ef51b0012def	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:34	bd4bc43b-e338-4edd-a787-55ac9f66a10b	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:34	9a608b44-700f-40ab-85f7-d34c3419d436	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:34	5625ee04-c621-4711-ae53-95dbd6b0787b	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:34	627424ad-ab81-4f4a-bf91-8b350af99b86	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:35	8d6ffa6e-30f9-40b8-9a6c-8b2480df0a13	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:35	2987d17b-564e-4118-adc9-041b2a5062fb	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:35	01312e06-2da9-4ce1-82a3-194c8fcc1014	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:35	4a27c91a-5aa8-4ce1-8026-9045be9807c6	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:35	5c046bb3-ce60-4823-8ff8-4e96cda6a301	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:35	0f353d28-017d-4fff-9169-1509ff62f00e	Request: GET	 undefined	 /new-page.html
2024-12-10	22:10:35	432bec47-6e8b-4115-a97b-f14f76ecfa3d	Request: GET	 undefined	 /css/style.css
2024-12-10	22:10:35	287e95ea-ff14-4d0e-afbb-30bf6d5dade6	Request: GET	 undefined	 /img/img1.jpg
2024-12-10	22:10:40	022826f6-d9b4-4485-9ad7-ae5c73b6d207	Request: GET	 undefined	 /
2024-12-10	22:10:40	b0a4f441-eeb3-40c4-842d-937c3ebab8f7	Request: GET	 undefined	 /css/style.css
2024-12-10	22:12:20	a2b54cbc-e805-4742-b88d-915289455d37	Request: GET	 undefined	 /old-page
2024-12-10	22:12:20	d8d14844-865f-45a9-8bdd-2db0683cf997	Request: GET	 undefined	 /new-page.html
2024-12-10	22:12:20	ba54c740-040e-4991-93b0-2348cdaf74b2	Request: GET	 undefined	 /css/style.css
